address,pkca,pkdiv,pkpart
"부산광역시 해운대구 반송1동250-2296,2297",노외,민영,7
부산광역시 해운대구 반송1동250-1687,노외,민영,15
강원도 영월군 남면 연당리 937,노외,공영,5
강원도 영월군 남면 연당리 937,노외,공영,5
강원도 영월군 남면 연당리 937,노외,공영,5
강원도 영월군 남면 연당리 937,노외,공영,4
강원도 영월군 남면 연당리 937,노외,공영,5
강원도 영월군 남면 북쌍리 산 243-2,노외,공영,8
강원도 영월군 북면 마차리 산 182-1,노외,공영,5
강원도 영월군 북면 마차리 1180-22,노외,공영,6
강원도 영월군 김삿갓면 와석리 922,노외,공영,56
부산광역시 금정구 서동 40-3,노외,공영,33
부산광역시 금정구 금사동 527-3,노외,공영,49
부산광역시 금정구 금사동 388-8,노외,공영,32
부산광역시 금정구 부곡동 294-20,노외,공영,78
부산광역시 금정구 부곡동 768-39,노외,공영,32
부산광역시 금정구 부곡동 896-3,노외,공영,185
부산광역시 금정구 남산동 967-1,노외,공영,46
,노외,공영,153
,노외,공영,283
충청남도 서천군 장항읍 성주리 309-5,노외,공영,12
,노외,공영,108
,노외,공영,123
,노외,공영,134
,노외,공영,54
,노외,공영,280
,노외,공영,195
,노외,공영,227
,노외,공영,292
,노외,공영,135
,노외,공영,230
,노외,공영,94
,노외,공영,104
부산광역시 해운대구 반송1동250-2292,노외,민영,14
부산광역시 해운대구 반여1동873,노외,민영,13
"부산광역시 해운대구 우동 441-3,9,10",노외,민영,10
"부산광역시 해운대구 우동 541-16,21,23",노외,민영,23
부산광역시 해운대구 우1동626-4,노외,민영,9
부산광역시 부산진구 가야동 656-14,노상,공영,107
대구광역시 남구 봉덕동 1336-8,노외,공영,12
대구광역시 남구 대명동 1673-22,노외,공영,23
대구광역시 남구 대명동 3010-40,노외,공영,15
대구광역시 남구 대명동 3038-3,노외,공영,20
대구광역시 남구 대명동 1501-2,노외,공영,89
부산광역시 금정구 남산동 970-1,노상,공영,173
부산광역시 금정구 남산동 18-2,노상,공영,88
부산광역시 금정구 남산동 320-19,노상,공영,11
부산광역시 금정구 서동 161-26,노외,공영,22
부산광역시 금정구 서동 509-2,노외,공영,87
부산광역시 금정구 서동 302-1973,노외,공영,80
부산광역시 금정구 부곡동 961,노외,공영,61
부산광역시 금정구 서동 200-3,노외,공영,73
부산광역시 금정구 서동 302-1049,노외,공영,29
부산광역시 금정구 서동 37-7,노외,공영,38
부산광역시 금정구 서동 410-3,노외,공영,29
부산광역시 금정구 서동 167-4,노외,공영,22
부산광역시 금정구 서동 190-9,노외,공영,145
경상북도 예천군 예천읍 동본리 494-1,노외,공영,30
대구광역시 남구 대명동 902-14,노외,공영,12
대구광역시 남구 대명동 1225-31,노외,공영,22
대구광역시 남구 봉덕동 523-15,노외,공영,5
대구광역시 남구 대명동 2152-5,노외,공영,34
대구광역시 남구 대명동 584-4,노외,공영,24
대구광역시 남구 대명동 1800-14,노외,공영,10
대구광역시 남구 대명동 1809-5,노외,공영,11
대구광역시 남구 이천동 408-12,노외,공영,28
,노상,공영,31
,노상,공영,70
,노상,공영,33
대구광역시 남구 봉덕동 1350-1,노외,공영,17
대구광역시 남구 봉덕동 1272-18,노외,공영,179
대구광역시 남구 이천동 291-4,노외,공영,5
,노상,공영,25
대구광역시 남구 대명동 501-3,노외,공영,32
대구광역시 남구 이천동 193-14,노외,공영,10
대구광역시 남구 대명동 614-6,노외,공영,11
충청남도 서천군 서천읍 군사리 563-1,노외,공영,80
충청남도 서천군 서천읍 군사리 855-7,노외,공영,14
충청남도 서천군 판교면 현암리 224-1,노외,공영,14
대구광역시 남구 봉덕동 687-8,노외,공영,36
대구광역시 남구 대명동 1803-10,노외,공영,29
대구광역시 남구 봉덕동 1256,노외,공영,75
대구광역시 남구 대명동 1158-9,노외,공영,98
대구광역시 남구 대명동 1150-3,노외,공영,53
대구광역시 남구 대명동 3024-6,노외,공영,61
대구광역시 남구 대명동 2277-2,노외,공영,43
대구광역시 남구 대명동 2014-62,노외,공영,48
강원도 춘천시 옥천동 14-31,노외,공영,67
대구광역시 남구 대명동 982-7,노외,공영,23
대구광역시 남구 대명동 874-9,노외,공영,35
대구광역시 남구 대명동 794-4,노외,공영,10
대구광역시 남구 대명동 3029-8,노외,공영,20
대구광역시 남구 봉덕동 538-3,노외,공영,12
대구광역시 남구 봉덕동 705-8,노외,공영,36
"충청남도 서천군 서천읍 군사리 860-7, -8, -9",노외,공영,50
"충청남도 서천군 서천읍 군사리 862-6,7",노외,공영,40
충청남도 서천군 서천읍 군사리 481-5,노외,공영,30
충청남도 서천군 서천읍 군사리 729,노외,공영,5
충청남도 서천군 서천읍 군사리 700-4,노외,공영,20
충청남도 서천군 서천읍 군사리 861-10,노외,공영,25
충청남도 서천군 서천읍 군사리 859-12,노외,공영,35
충청남도 서천군 서천읍 군사리 563-1,노외,공영,80
충청남도 서천군 장항읍 원수리 887-55,노외,공영,23
충청남도 서천군 장항읍 창선2리 232-26,노외,공영,67
충청남도 서천군 장항읍 신창리 171-58,노외,공영,14
충청남도 서천군 장항읍 신창리 44-26,노외,공영,37
충청남도 서천군 장항읍 창선2리 545-1,노외,공영,15
충청남도 서천군 장항읍 창선1리 204-2,노외,공영,24
충청남도 서천군 장항읍 창선1리 215,노외,공영,15
충청남도 서천군 장항읍 창선1리 231,노외,공영,48
충청남도 서천군 장항읍 창선2리 606-1,노외,공영,12
충청남도 서천군 장항읍 창선2리 632-8,노외,공영,16
충청남도 서천군 장항읍 창선2리 503,노외,공영,12
충청남도 서천군 서천읍 군사리 861-6,노외,공영,12
"충청남도 서천군 서천읍 군사리 862-6, 862-7",노외,공영,40
,노상,공영,9
